symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,beta,avg_daily_return,avg_vwap_distance,liquidity_score,stability_score,trend_strength
SETCO,Setco Automotive Limited,INE878E01021,Auto Components & Equipments,Automobile and Auto Components,Consumer Discretionary,Auto Components & Equipments,2016-07-01,2.0,133767275,Micro,Unknown,1124900000.0,28400000.0,1153300000.0,179500000.0,-229800000.0,-1.4266666667,11.07,11.03,207359,1.6344,74.97,4.0575,,0.014069,-0.000422,1.8254,2.9768,0.4
SHAHALLOYS,Shah Alloys Limited,INE640C01011,Iron & Steel Products,Capital Goods,Industrials,Iron & Steel Products,2005-06-16,10.0,19797540,Micro,Unknown,789200000.0,500000.0,789700000.0,39300000.0,-50766666.66666666,-2.5666666667,63.3,62.9,87996,11.5848,-10.39,0.2547,,0.00088,-0.004686,5.4474,2.3301,0.0323
SHAH,Shah Metacorp Limited,INE482J01021,Iron & Steel Products,Capital Goods,Industrials,Iron & Steel Products,2010-10-27,1.0,593878676,Micro,Unknown,448972333.3333333,7958333.333333333,456930666.6666667,3511000.0,95995333.33333331,0.2233333333,4.01,3.98,2597348,0.6437,-11.94,0.1338,,0.00039,-0.0041,6.1508,2.9293,0.013
SHAILY,Shaily Engineering Plastics Limited,INE151G01028,Plastic Products - Industrial,Capital Goods,Industrials,Plastic Products - Industrial,2022-04-04,2.0,45955093,Small,IN-Mi,1896567666.6666667,7313000.0,1903881000.0,190679000.0,215098666.66666663,4.69,977.18,976.79,162839,295.7891,172.79,2.4941,,0.006046,4e-06,7.5,3.3207,0.0426
SHAKTIPUMP,Shakti Pumps (India) Limited,INE908D01010,Compressors Pumps & Diesel Engines,Capital Goods,Industrials,Compressors Pumps & Diesel Engines,2015-01-29,10.0,120210600,Large,IN-Mi,6123733333.333333,67966666.66666667,6191700000.0,217766666.66666663,988600000.0,34.8333333333,2581.28,2564.23,436517,1531.0149,-61.33,0.397,,0.003654,-0.000657,2.7381,4.0637,0.1176
SHALBY,Shalby Limited,INE597J01018,Hospital,Healthcare,Healthcare,Hospital,2017-12-15,10.0,108009770,Small,Unknown,2740208000.0,74253000.0,2814461000.0,465916333.3333333,47027000.0,0.4366666667,248.5,247.8,192598,30.9319,-30.04,-0.7354,,-0.001143,-0.00158,9.8413,4.8424,0.0931
SHALPAINTS,Shalimar Paints Limited,INE849C01026,Paints,Consumer Durables,Consumer Discretionary,Paints,2008-03-03,2.0,83711178,Small,Unknown,1404100000.0,10266666.666666666,1414366666.6666667,206633333.3333333,-235466666.66666663,-2.81,132.86,132.17,185769,18.9965,-34.99,-0.7316,,-0.001329,-0.003779,9.8413,4.2198,0.0648
SRD,Shankar Lal Rampal Dye-Chem Limited,INE01NE01012,Trading - Chemicals,Chemicals,Commodities,Trading - Chemicals,2024-10-09,10.0,63966780,Micro,Unknown,981556000.0,4500.0,981560500.0,7638000.0,26984500.0,0.425,72.78,71.57,160501,17.356,-43.18,-3.1725,,-0.007948,-0.005633,2.5794,2.6455,0.1875
SHANKARA,Shankara Building Products Limited,INE274V01019,Speciality Retail,Consumer Services,Consumer Discretionary,Speciality Retail,2017-04-05,10.0,24249326,Small,Unknown,13148566666.666666,6533333.333333333,13155100000.0,147300000.0,160766666.66666666,6.6266666667,619.4,617.74,85822,66.6637,-16.98,-0.1901,,-0.000344,-0.000925,8.446,3.6205,0.0283
SHANTIGEAR,Shanthi Gears Limited,INE631A01022,Industrial Products,Capital Goods,Industrials,Industrial Products,1996-01-17,1.0,76715853,Small,Unknown,1504700000.0,35500000.0,1540200000.0,206600000.0,245233333.3333333,3.1966666667,545.63,543.64,42836,65.3514,-16.21,-0.2773,,-0.000426,-0.001367,4.2157,4.3881,0.085
SHANTI,Shanti Overseas (India) Limited,INE933X01016,Edible Oil,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Edible Oil,2021-09-16,10.0,11106000,Micro,Unknown,74566333.33333333,3394666.6666666665,77961000.0,2788333.333333333,-10924333.333333334,-0.9833333333,15.56,15.45,201512,1.9755,-10.89,-0.0153,,-3.6e-05,-0.003444,6.2698,3.0969,0.0
SHARDACROP,Sharda Cropchem Limited,INE221J01015,Pesticides & Agrochemicals,Chemicals,Commodities,Pesticides & Agrochemicals,2014-09-23,10.0,90220495,Mid,IN-Mi,7878841000.0,139030333.33333334,8017871666.666667,104629333.33333331,304422333.3333333,3.3733333333,577.46,576.9,307772,137.2544,34.57,0.8389,,0.001745,-0.002069,9.8413,3.7372,0.1174
SHARDAMOTR,Sharda Motor Industries Limited,INE597I01028,Auto Components & Equipments,Automobile and Auto Components,Consumer Discretionary,Auto Components & Equipments,2015-09-03,2.0,28703853,Mid,Unknown,6955723000.0,186316333.3333333,7142039333.333333,362802666.6666667,769921666.6666666,26.3066666667,1987.86,1984.77,55414,403.7571,-1.6,0.2154,,0.000443,-0.000956,5.4535,3.3195,0.2065
SHAREINDIA,Share India Securities Limited,INE932X01026,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2020-09-21,2.0,216886135,Mid,IN-Mi,4030438333.3333335,59181333.333333336,4089619666.6666665,980426333.3333334,1031461666.6666666,4.9566666667,540.92,538.4,583956,537.5451,-90.59,-1.6542,,-0.00595,-0.000446,9.8413,4.84,0.0891
SFL,Sheela Foam Limited,INE916U01025,Furniture Home Furnishing,Consumer Durables,Consumer Discretionary,Furniture Home Furnishing,2016-12-09,5.0,108705996,Mid,IN-Mi,8631966666.666666,232533333.3333333,8864500000.0,1074966666.6666667,248400000.0,2.2866666667,894.29,890.64,121297,89.3986,-29.58,-1.2125,,-0.001279,-0.001187,9.8413,7.045,0.1296
SCPL,Sheetal Cool Products Limited,INE501Y01019,Dairy Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Dairy Products,2022-11-22,10.0,10500000,Micro,Unknown,759194000.0,35546000.0,794740000.0,47043000.0,39431666.66666666,3.7533333333,408.72,406.49,49330,89.7617,-23.99,-0.3953,,-0.000879,-0.002625,3.6019,3.3405,0.1366
SHEMAROO,Shemaroo Entertainment Limited,INE363M01019,Media & Entertainment,Media Entertainment & Publication,Consumer Discretionary,Media & Entertainment,2014-10-01,10.0,27320299,Micro,Unknown,1602764333.3333333,15686666.666666666,1618451000.0,324473333.3333333,-265051666.66666663,-9.7666666667,155.92,155.08,106779,21.7071,-35.7,-0.5974,,-0.001289,-0.005832,9.4444,3.3519,0.1097
