symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,beta,avg_daily_return,avg_vwap_distance,liquidity_score,stability_score,trend_strength
20MICRONS,20 Microns Limited,INE144J01027,Industrial Minerals,Metals & Mining,Commodities,Industrial Minerals,2008-10-06,5.0,35286502,Small,Unknown,2284600000.0,13464333.333333334,2298064333.333333,190991666.66666663,157576000.0,4.4533333333,222.84,222.44,370105,54.1132,27.76,0.8427,,0.002149,-0.003075,7.2619,2.8651,0.1319
21STCENMGM,21st Century Management Services Limited,INE253B01015,Other Capital Market related Services,Financial Services,Financial Services,Other Capital Market related Services,1995-05-03,10.0,10500000,Micro,Unknown,401382000.0,219666.6666666666,401601666.6666667,4210000.0,77145333.33333333,7.3466666667,69.69,70.33,4915,1.3429,5.49,8.2813,,0.007764,0.00748,0.0156,7.1513,0.4286
360ONE,360 ONE WAM LIMITED,INE466L01038,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2019-09-19,1.0,393073939,Large,IN-M,8239766666.666667,961266666.6666666,9201033333.333334,2125666666.6666667,2552333333.333333,6.9233333333,999.54,998.5,817552,138.6884,17.61,0.5964,,0.001032,-0.000806,9.8413,4.1398,0.0202
3IINFOLTD,3i Infotech Limited,INE748C01038,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,2021-10-22,10.0,169627242,Small,Unknown,1477000000.0,34566666.666666664,1511566666.6666667,1072900000.0,2666666.6666666665,0.02,31.61,31.46,1039174,5.2735,-47.37,-1.0948,,-0.002136,-0.004059,9.8413,3.9885,0.2267
3MINDIA,3M India Limited,INE470A01017,Diversified,Diversified,Diversified,Diversified,2004-08-13,10.0,11265070,Large,IN-M,10824412000.0,189172333.3333333,11013584333.333334,1084059000.0,1348987666.6666667,119.75,32667.28,32570.76,7097,3694.6217,-0.62,0.1171,,0.000132,-0.000758,0.6985,6.5735,0.1255
3PLAND,3P Land Holdings Limited,INE105C01023,Investment Company,Financial Services,Financial Services,Investment Company,1995-07-19,2.0,18000000,Micro,Unknown,11869666.666666666,0.0,11869666.666666666,3278333.333333333,5722666.666666667,0.3166666667,39.91,39.68,93313,11.6152,32.52,1.2233,,0.004994,-0.002077,4.1103,2.8757,0.0909
5PAISA,5Paisa Capital Limited,INE618L01018,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2017-11-16,10.0,31236338,Small,Unknown,961000666.6666666,464333.3333333333,961465000.0,176459000.0,193888333.3333333,6.21,477.76,475.68,85530,65.0476,-31.83,-0.9002,,-0.001293,-0.002099,8.4172,4.3274,0.1498
63MOONS,63 moons technologies limited,INE111B01023,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,2005-06-20,2.0,46078537,Small,Unknown,296546000.0,425791000.0,722337000.0,403269000.0,-194695666.66666663,-3.1933333333,552.85,551.34,326108,200.0499,69.56,1.2424,,0.00275,-0.002347,9.8413,4.3879,0.004
ABINFRA,A B Infrabuild Limited,INE00YB01017,Civil Construction,Construction,Industrials,Civil Construction,2024-11-08,10.0,63878936,Small,Unknown,611366000.0,5224000.0,616590000.0,6905500.0,44250000.0,0.9,89.06,88.46,140002,5.5892,-10.64,-0.4604,,-0.001117,-0.000622,2.4603,2.4147,0.082
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,Diversified Commercial Services,Services,Services,Diversified Commercial Services,2010-12-23,10.0,176119858,Micro,Unknown,818705333.3333334,31970333.33333333,850675666.6666666,399992000.0,-771666.6666666666,0.0933333333,18.13,17.92,656348,2.8656,-26.81,-0.7532,,-0.002854,-0.005866,2.5794,4.115,0.0
AAATECH,AAA Technologies Limited,INE0D0U01013,Consulting Services,Services,Services,Consulting Services,2022-11-28,10.0,12826800,Micro,Unknown,49606000.0,3820000.0,53426000.0,21900666.666666668,8375666.666666667,0.6533333333,109.77,108.67,76672,19.0544,-19.98,-0.1718,,-0.000417,-0.005852,5.9938,3.2731,0.1122
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,Housing Finance Company,Financial Services,Financial Services,Housing Finance Company,2024-05-15,10.0,431384459,Mid,IN-S,7538566666.666667,166666.6666666667,7538733333.333333,1088066666.6666667,2223466666.6666665,5.2433333333,416.9,416.59,1541648,33.6819,40.66,1.1289,,0.00183,-0.000802,9.0476,4.3986,0.0132
AAKASH,Aakash Exploration Services Limited,INE087Z01016,Offshore Support Solution Drilling,Oil Gas & Consumable Fuels,Energy,Offshore Support Solution Drilling,2020-09-29,1.0,101250000,Micro,Unknown,241381666.66666663,4064666.6666666665,245446333.3333333,82535333.33333333,5208333.333333333,0.0533333333,10.55,10.46,343192,1.4528,-20.93,-0.1787,,-0.000444,-0.004099,7.3413,2.9354,0.1087
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals,2021-08-06,10.0,28354303,Micro,Unknown,1219480000.0,7581666.666666667,1227061666.6666667,1795333.3333333333,11845333.333333334,0.4233333333,48.33,47.94,111808,9.77,-4.59,0.369,,0.001326,-0.003893,3.4524,3.2434,0.0465
AARON,Aaron Industries Limited,INE721Z01010,Industrial Products,Capital Goods,Industrials,Industrial Products,2020-11-06,10.0,10473239,Micro,Unknown,179389666.66666666,517666.6666666667,179907666.66666666,16192666.666666666,18299666.666666668,1.7433333333,300.31,299.76,19002,41.3287,39.28,0.9852,,0.001712,-0.003619,1.8701,3.3955,0.0486
AARTECH,Aartech Solonics Limited,INE01C001026,Heavy Electrical Equipment,Capital Goods,Industrials,Heavy Electrical Equipment,2023-07-10,5.0,26475313,Micro,Unknown,85995000.0,12308333.333333334,98303333.33333331,10029333.333333334,14632333.333333334,0.6766666667,81.33,81.07,271644,31.8827,-51.83,-0.5971,,-0.002651,-0.002832,4.3651,4.0712,0.0459
AARTIDRUGS,Aarti Drugs Limited,INE767A01016,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals,2003-09-19,10.0,91270000,Small,IN-Mi,5700900000.0,48300000.0,5749200000.0,269166666.6666667,351066666.6666667,3.8366666667,471.01,469.17,214361,63.1653,-32.91,-1.0634,,-0.0014,-0.001771,9.8413,4.8452,0.1336
AARTIIND,Aarti Industries Limited,INE769A01020,Specialty Chemicals,Chemicals,Commodities,Specialty Chemicals,1995-02-08,5.0,362519910,Mid,IN-S,17742200000.0,50333333.333333336,17792533333.333332,1078466666.6666667,783600000.0,2.16,548.13,546.09,1818969,123.6223,-47.92,-1.5232,,-0.002336,-0.001243,9.8413,5.0803,0.0283
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals,2023-01-30,5.0,90634624,Mid,IN-Mi,5170991333.333333,39089000.0,5210080333.333333,395313666.6666667,613547000.0,6.77,636.1,636.13,475153,66.0074,47.66,1.0396,,0.002067,-0.000369,9.8413,3.7821,0.0364
AARTISURF,Aarti Surfactants Limited,INE09EO01013,Specialty Chemicals,Chemicals,Commodities,Specialty Chemicals,2020-07-14,10.0,8458495,Small,Unknown,1523437666.6666667,7792333.333333333,1531230000.0,48056333.333333336,16081666.666666666,1.9033333333,626.48,623.58,49563,109.1576,-34.34,-0.7753,,-0.001653,-0.001724,3.7566,4.2135,0.1368
AARVEEDEN,Aarvee Denims & Exports Limited,INE273D01019,Other Textile Products,Textiles,Consumer Discretionary,Other Textile Products,2006-11-21,10.0,23459800,Micro,Unknown,116500000.0,339891000.0,456390666.6666667,19986333.33333333,79691666.66666667,3.3966666667,28.42,28.23,94102,3.9829,43.58,2.7851,,0.005272,-0.004733,2.838,4.5711,0.1333
AARVI,Aarvi Encon Limited,INE754X01016,Diversified Commercial Services,Services,Services,Diversified Commercial Services,2020-06-24,10.0,14810700,Micro,Unknown,1180788000.0,8138000.0,1188926000.0,886001000.0,20248000.0,1.37,134.91,134.32,33206,14.4013,-39.89,-1.1136,,-0.001755,-0.003441,3.2679,3.4828,0.1822
AAVAS,Aavas Financiers Limited,INE216P01012,Housing Finance Company,Financial Services,Financial Services,Housing Finance Company,2018-10-08,10.0,79153665,Mid,Unknown,5727640666.666667,8782333.333333334,5736423000.0,886019000.0,1401428666.6666667,17.7066666667,1727.59,1726.92,264356,117.4381,30.85,1.1781,,0.001224,-0.000537,9.8413,5.2926,0.0283
ABAN,Aban Offshore Limited,IN9421A01026,Offshore Support Solution Drilling,Oil Gas & Consumable Fuels,Energy,Offshore Support Solution Drilling,2000-04-12,2.0,58365323,Micro,Unknown,1199806666.6666667,623890000.0,1823696666.6666667,189923333.3333333,-2098410000.0,-35.9566666667,65.78,65.26,155288,11.295,-41.14,-1.7007,,-0.003395,-0.004013,5.4365,4.5566,0.2721
ABB,ABB India Limited,INE117A01022,Heavy Electrical Equipment,Capital Goods,Industrials,Heavy Electrical Equipment,1995-02-08,2.0,211908375,Large,IN-L,29411266666.666668,889266666.6666666,30300533333.33333,2090733333.3333333,4477433333.333333,21.1233333333,7175.96,7151.66,414968,1113.9551,-21.61,-0.4301,,-0.000675,-0.000392,9.8413,4.5312,0.0324
ABMINTLLTD,ABM International Limited,INE251C01025,Trading & Distributors,Services,Services,Trading & Distributors,2021-09-09,10.0,9408000,Micro,Unknown,208403000.0,1102333.3333333333,209505333.3333333,1374333.3333333333,1274000.0,0.4866666667,61.14,60.39,3344,12.4933,-14.9,0.2568,,0.001085,-0.002822,0.1301,2.7204,0.1753
ACC,ACC Limited,INE012A01025,Cement & Cement Products,Construction Materials,Commodities,Cement & Cement Products,1996-11-20,10.0,187787263,Large,IN-M,52300833333.333336,2913133333.333333,55213966666.66666,1801833333.3333333,5623533333.333333,29.9466666667,2287.94,2281.61,397780,258.7781,-17.81,-0.5217,,-0.000615,-0.0004,9.8413,5.4051,0.0283
ACCELYA,Accelya Solutions India Limited,INE793A01012,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,1999-12-01,10.0,14926261,Small,Unknown,1238222666.6666667,57375666.66666666,1295598333.3333333,373340333.3333333,237969000.0,15.9433333333,1609.95,1605.25,21860,179.8353,-29.17,-0.9827,,-0.001206,-0.001401,2.1513,6.4362,0.1417
ACCURACY,Accuracy Shipping Limited,INE648Z01015,Logistics Solution Provider,Services,Services,Logistics Solution Provider,2020-12-11,1.0,150560000,Micro,Unknown,2365209666.6666665,2571333.333333333,2367781000.0,46916666.66666666,12935666.666666666,0.0833333333,9.66,9.56,339701,1.1371,-11.91,-0.0414,,-0.000102,-0.003944,5.7937,2.8861,0.0276
ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,Diversified Commercial Services,Services,Services,Diversified Commercial Services,2022-11-04,10.0,10200000,Micro,Unknown,23700000.0,600000.0,24300000.0,2666666.6666666665,-566666.6666666666,-0.0466666667,31.65,31.18,43454,4.2993,-30.51,-0.4111,,-0.000894,-0.007395,4.2765,2.4782,0.1336
ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,Power Generation,Power,Utilities,Power Generation,2024-11-13,2.0,605087781,Mid,Unknown,3043020000.0,436840000.0,3479860000.0,163340000.0,636785000.0,1.19,223.06,221.3,1882554,28.8285,-22.14,-0.6815,,-0.001702,-0.003034,4.0476,3.8467,0.0891
ACE,Action Construction Equipment Limited,INE731H01025,Construction Vehicles,Capital Goods,Industrials,Construction Vehicles,2006-09-26,2.0,119083196,Mid,IN-S,7886866666.666667,306433333.3333333,8193300000.0,340666666.6666667,968933333.3333334,8.14,1346.06,1342.26,379454,112.7699,-14.97,-0.1542,,-0.00027,-0.001226,9.8413,3.9295,0.0891
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,Power Distribution,Power,Utilities,Power Distribution,2015-07-31,10.0,1201282642,Large,IN-L,39703133333.333336,1990100000.0,41693233333.333336,1905366666.6666667,-845033333.3333334,0.0266666667,927.77,924.97,2962147,140.0604,-18.73,-0.0906,,-0.000202,-0.002433,9.8413,3.2845,0.0081
ADANIENT,Adani Enterprises Limited,INE423A01024,Trading - Minerals,Metals & Mining,Commodities,Trading - Minerals,1997-06-04,1.0,1154180729,Large,IN-L,236429633333.3333,6115166666.666667,242544800000.0,7873833333.333333,13300300000.0,9.09,2788.24,2779.98,2147210,379.033,-26.25,-0.424,,-0.000781,-0.000993,9.8413,3.7742,0.0526
ADANIGREEN,Adani Green Energy Limited,INE364U01010,Power Generation,Power,Utilities,Power Generation,2018-06-18,10.0,1584032478,Large,IN-L,27513333333.33333,2913333333.333333,30426666666.666668,310000000.0,5393333333.333333,2.37,1485.52,1478.26,3187228,412.1191,-50.77,-0.9824,,-0.002221,-0.002475,9.8413,3.116,0.1822
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Port & Port services,Services,Services,Port & Port services,2007-11-27,2.0,2160138945,Large,IN-L,56403333333.333336,4600700000.0,61004033333.333336,3657666666.6666665,19023066666.666668,8.86,1318.19,1314.92,4035082,147.5275,-11.48,-0.0928,,-0.00015,-4.7e-05,9.8413,3.7025,0.0283
ADANIPOWER,Adani Power Limited,INE814H01011,Integrated Power Utilities,Power,Utilities,Integrated Power Utilities,2009-08-20,10.0,3856938941,Large,IN-L,139885633333.33334,8015133333.333333,147900766666.66666,1982733333.3333333,33834600000.0,8.5333333333,603.64,601.92,7407723,88.0005,-12.33,-0.0219,,-4.4e-05,-0.002679,9.8413,3.0851,0.2065
ATGL,Adani Total Gas Limited,INE399L01023,LPG/CNG/PNG/LNG Supplier,Oil Gas & Consumable Fuels,Energy,LPG/CNG/PNG/LNG Supplier,2018-11-05,1.0,1099810083,Large,IN-M,13194366666.666666,75266666.66666667,13269633333.333334,143600000.0,1666066666.6666667,1.5166666667,773.93,770.96,1890163,126.7127,-36.08,-0.7221,,-0.001366,-0.002923,9.8413,3.2632,0.166
AWL,Adani Wilmar Limited,INE699H01024,Edible Oil,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Edible Oil,2022-02-08,1.0,1299678605,Large,IN-M,151627800000.0,776100000.0,152403900000.0,1401566666.6666667,3450500000.0,2.6533333333,319.14,318.39,2866448,38.7824,-18.96,-0.2954,,-0.000497,-0.002043,9.8413,4.7568,0.1255
ADFFOODS,ADF Foods Limited,INE982B01027,Packaged Foods,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Packaged Foods,2010-09-15,2.0,109863595,Small,Unknown,1435027666.6666667,41583000.0,1476610666.6666667,105433333.33333331,176045000.0,1.6233333333,258.81,258.35,393240,35.6797,20.59,0.6232,,0.001272,-0.003045,9.8413,3.5557,0.0445
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,Asset Management Company,Financial Services,Financial Services,Asset Management Company,2021-10-11,5.0,288489286,Mid,Unknown,4142300000.0,760900000.0,4903200000.0,863466666.6666666,2331466666.6666665,8.0866666667,691.45,690.79,461248,94.5318,25.21,0.7662,,0.001234,-0.001353,9.8413,4.9741,0.0688
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,Investment Company,Financial Services,Financial Services,Investment Company,2017-09-01,10.0,2607010822,Large,IN-M,62453700000.0,243400000.0,62697100000.0,3044233333.333333,6355400000.0,2.3966666667,204.14,203.58,5863696,25.3026,-9.84,-0.1365,,-0.000186,-0.00112,9.8413,5.7908,0.0283
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,Speciality Retail,Consumer Services,Consumer Discretionary,Speciality Retail,2013-07-17,10.0,1220232869,Large,IN-M,37921233333.333336,521433333.3333333,38442666666.66666,5157666666.666667,-1573266666.6666667,-1.2966666667,294.17,293.79,4611028,32.072,10.46,0.4553,,0.000673,-0.000748,9.8413,4.9519,0.0121
BIRLAMONEY,Aditya Birla Money Limited,INE865C01022,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2008-02-07,1.0,56509201,Small,Unknown,1170740000.0,38230333.333333336,1208970333.3333333,235467666.66666663,216216666.66666663,3.8266666667,166.8,166.77,603496,42.3305,109.38,2.6559,,0.009366,-0.003412,3.7302,2.7447,0.0968
ABREL,Aditya Birla Real Estate Limited,INE055A01016,Paper & Paper Products,Forest Materials,Commodities,Paper & Paper Products,2003-06-27,10.0,111695680,Large,IN-S,10778333333.333334,111633333.33333331,10889966666.666666,920033333.3333334,-74000000.0,-0.1366666667,2305.8,2301.09,372839,334.6289,2.28,0.292,,0.000576,-0.001383,9.8413,3.5097,0.0526
AVL,Aditya Vision Limited,INE679V01027,Speciality Retail,Consumer Services,Consumer Discretionary,Speciality Retail,2024-11-06,1.0,128663050,Mid,IN-Mi,4421500000.0,18300000.0,4439800000.0,146950000.0,182150000.0,1.42,462.48,462.73,164613,35.716,-3.47,0.0701,,0.000135,0.002076,4.246,3.442,0.1226
ADROITINFO,Adroit Infotech Limited,INE737B01033,IT Enabled Services,Information Technology,Information Technology,IT Enabled Services,1997-08-13,10.0,54172808,Micro,Unknown,35735333.333333336,2699000.0,38434333.333333336,19373666.666666668,3787000.0,0.1433333333,18.55,18.27,139283,2.7836,-41.95,-0.6446,,-0.001883,-0.002938,7.0635,2.6116,0.113
ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020,Biotechnology,Healthcare,Healthcare,Biotechnology,2016-08-01,2.0,111881150,Small,IN-Mi,1338296666.6666667,60133333.333333336,1398430000.0,278403333.3333333,278510000.0,2.45,385.89,384.76,329380,67.5633,-23.08,-0.4518,,-0.000731,-0.001821,9.8413,5.2729,0.0445
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,INE199C01026,Hotels & Resorts,Consumer Services,Consumer Discretionary,Hotels & Resorts,2007-06-25,2.0,92438500,Small,Unknown,246323000.0,9119333.333333334,255442333.3333333,83335666.66666667,49881000.0,0.54,70.06,69.65,152105,6.5021,-25.27,-0.5586,,-0.000876,-0.002026,9.8413,4.0035,0.1255
AEGISLOG,Aegis Logistics Limited,INE208C01025,Trading - Gas,Oil Gas & Consumable Fuels,Energy,Trading - Gas,1996-04-03,1.0,351000000,Large,IN-S,13965133333.333334,840633333.3333334,14805766666.666666,183166666.66666663,1589833333.3333333,3.9466666667,765.97,765.79,1727156,83.3853,55.04,1.0333,,0.002482,-0.000997,9.8413,2.6541,0.0405
AEROFLEX,Aeroflex Industries Limited,INE024001021,Iron & Steel Products,Capital Goods,Industrials,Iron & Steel Products,2023-08-31,2.0,129320370,Small,Unknown,948454333.3333334,8041333.333333333,956495666.6666666,86773666.66666667,137585666.66666666,1.0666666667,179.72,179.32,1496680,29.4927,19.49,0.5996,,0.001314,-0.003844,9.8413,3.7568,0.0405
AETHER,Aether Industries Limited,INE0BWX01014,Specialty Chemicals,Chemicals,Commodities,Specialty Chemicals,2022-06-03,10.0,132590241,Mid,IN-Mi,1994976666.6666667,121910000.0,2116886666.6666667,106873333.33333331,360406666.6666667,2.72,867.6,867.18,102384,51.9265,-1.39,0.1137,,0.000144,-0.000483,9.8413,5.3633,0.0162
AFCONS,Afcons Infrastructure Limited,INE101I01011,Civil Construction,Construction,Industrials,Civil Construction,2024-11-04,10.0,367784631,Mid,IN-S,30853950000.0,1255300000.0,32109250000.0,3534650000.0,1421400000.0,4.01,482.81,482.33,2909263,36.2511,-9.7,-0.2853,,-0.000523,-0.001831,4.3254,4.5814,0.0
AFFLE,Affle (India) Limited,INE00WC01027,IT Enabled Services,Information Technology,Information Technology,IT Enabled Services,2019-08-08,2.0,140496310,Large,IN-S,4166616666.6666665,236596666.66666663,4403213333.333333,430500000.0,692803333.3333334,4.9433333333,1480.5,1480.09,438021,195.4032,40.78,1.1079,,0.001667,-0.000877,9.8413,5.0947,0.0121
AFFORDABLE,Affordable Robotic & Automation Limited,INE692Z01013,Industrial Products,Capital Goods,Industrials,Industrial Products,2024-10-23,10.0,11246266,Small,Unknown,390710500.0,2788000.0,347433000.0,104892500.0,-16604000.0,-1.48,563.95,558.16,21336,112.4175,-46.94,-3.0397,,-0.005097,0.00033,0.9906,2.6002,0.1897
AGARIND,Agarwal Industrial Corporation Limited,INE204E01012,Petrochemicals,Chemicals,Commodities,Petrochemicals,2014-05-26,10.0,14957789,Small,Unknown,5251624000.0,19493333.33333333,5271117333.333333,29200000.0,283827333.3333333,18.9733333333,1097.62,1095.51,53869,137.1594,21.73,0.6497,,0.001245,-0.001903,5.3015,4.2889,0.0769
AGI,AGI Greenpac Limited,INE415A01038,Packaging,Capital Goods,Industrials,Packaging,2000-05-31,2.0,64697381,Mid,IN-Mi,6079966666.666667,125200000.0,6205166666.666667,534800000.0,752700000.0,11.6333333333,857.04,855.81,272221,148.0612,-4.42,0.1747,,0.000365,-0.001405,9.8413,3.5383,0.1174
AGIIL,Agi Infra Limited,INE976R01025,Residential Commercial Projects,Realty,Consumer Discretionary,Residential Commercial Projects,2024-07-15,5.0,24433440,Small,Unknown,805321000.0,23132333.33333333,828453333.3333334,116441666.66666669,169762666.66666666,13.8966666667,1182.1,1180.19,32045,379.4871,-9.16,0.3303,,0.001022,0.000922,2.3653,2.5258,0.0378
AGRITECH,Agri-Tech (India) Limited,INE449G01018,Other Agricultural Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Other Agricultural Products,2014-01-28,10.0,5940000,Micro,Unknown,404666.6666666667,3000.0,407666.6666666667,478333.3333333333,-2863333.333333333,-0.4866666667,196.39,194.56,40616,26.8493,-33.17,-0.4752,,-0.001045,-0.006304,3.9972,2.646,0.1457
AGROPHOS,Agro Phos India Limited,INE740V01019,Fertilizers,Chemicals,Commodities,Fertilizers,2019-03-08,10.0,20274115,Micro,Unknown,260763333.3333333,31469333.33333333,292232666.6666667,8242666.666666667,8992000.0,0.4433333333,41.82,41.53,105033,5.3777,-26.21,-0.4026,,-0.000772,-0.005477,9.8413,3.0893,0.0769
AGSTRA,AGS Transact Technologies Limited,INE583L01014,Financial Technology (Fintech),Financial Services,Financial Services,Financial Technology (Fintech),2022-01-31,10.0,124233076,Small,Unknown,3003583333.333333,107246666.66666669,3110830000.0,515480000.0,-550813333.3333334,-4.5333333333,83.46,82.86,842848,13.4157,-33.52,-0.7432,,-0.001565,-0.003975,7.6984,3.7249,0.171
AHLADA,Ahlada Engineers Limited,INE00PV01013,Furniture Home Furnishing,Consumer Durables,Consumer Discretionary,Furniture Home Furnishing,2021-01-28,10.0,12921000,Micro,Unknown,312094000.0,627000.0,312721000.0,28431666.666666668,9133666.666666666,0.7066666667,96.34,95.43,75780,20.0559,-44.25,-1.0772,,-0.002509,-0.006395,5.5633,3.2006,0.1304
AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029,Civil Construction,Construction,Industrials,Civil Construction,2009-12-14,2.0,66987560,Mid,IN-Mi,9609289333.333334,124483000.0,9733772333.333334,861437666.6666666,395829666.6666667,4.3866666667,1074.13,1068.9,107400,212.1435,-19.49,-0.3208,,-0.000532,-0.001163,9.8413,4.5979,0.0364
AIAENG,AIA Engineering Limited,INE212H01026,Castings & Forgings,Capital Goods,Industrials,Castings & Forgings,2005-12-14,2.0,93320370,Large,IN-M,10434673000.0,798104333.3333334,11232777333.333334,463544000.0,2582406000.0,27.53,3824.21,3818.84,74740,426.8257,-16.79,-0.6605,,-0.00063,0.00024,7.3554,7.6323,0.0445
GOLDTECH,AION-TECH SOLUTIONS LIMITED,INE805A01014,Software Products,Information Technology,Information Technology,Software Products,2001-04-11,10.0,34582066,Micro,Unknown,200326666.66666663,5730000.0,206056666.66666663,37756666.66666666,30573333.33333333,0.88,111.35,110.05,106549,30.9809,-59.4,-0.9592,,-0.003847,-0.005715,5.9127,2.2262,0.25
AIRAN,Airan Limited,INE645W01026,IT Enabled Services,Information Technology,Information Technology,IT Enabled Services,2019-05-03,2.0,125020000,Micro,Unknown,263948666.66666663,59133000.0,323081666.6666667,137213333.33333334,74075666.66666667,0.5833333333,29.97,29.79,448368,3.5126,-2.11,0.3185,,0.000897,-0.003249,7.0635,2.7433,0.0056
AIROLAM,Airo Lam limited,INE801L01010,Plywood Boards/ Laminates,Consumer Durables,Consumer Discretionary,Plywood Boards/ Laminates,2021-10-13,10.0,15002000,Micro,Unknown,524809333.3333333,5744333.333333333,530553666.6666667,25222666.666666668,328000.0,0.0233333333,129.9,128.81,30351,18.126,-46.1,-1.1326,,-0.002081,-0.003669,2.987,3.139,0.0526
AJANTPHARM,Ajanta Pharma Limited,INE031B01049,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals,2000-05-29,2.0,124912099,Large,IN-M,11444933333.333334,263933333.3333333,11708866666.666666,2634833333.333333,2382333333.333333,18.99,2731.51,2732.24,167496,346.8962,21.14,0.7105,,0.001047,0.000135,9.8413,4.351,0.0526
AJAXENGG,Ajax Engineering Limited,INE274Y01021,Construction Vehicles,Capital Goods,Industrials,Construction Vehicles,2025-02-17,1.0,114406800,Mid,Unknown,5481780000.0,69010000.0,5550790000.0,269920000.0,681260000.0,5.95,600.64,604.26,697023,13.0438,4.58,1.0445,,0.001547,-0.000541,1.4286,5.2348,0.0286
AJMERA,Ajmera Realty & Infra India Limited,INE298G01027,Residential Commercial Projects,Realty,Consumer Discretionary,Residential Commercial Projects,2009-06-16,10.0,39359130,Small,Unknown,1955233333.3333333,42633333.333333336,1997866666.6666667,104000000.0,336266666.6666667,9.2266666667,836.85,835.28,112050,143.5014,3.06,0.3056,,0.000595,-0.002557,9.4444,3.4118,0.038
AJOONI,Ajooni Biotech Limited,INE820Y01013,Animal Feed,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Animal Feed,2021-05-07,2.0,172243598,Micro,Unknown,284725000.0,2442000.0,287167000.0,7224000.0,6045000.0,0.0366666667,6.89,6.82,2245995,0.8799,2.2,0.3563,,0.000849,-0.003473,7.3016,3.448,0.0383
AKASH,Akash Infra-Projects Limited,INE737W01013,Civil Construction,Construction,Industrials,Civil Construction,2019-10-11,10.0,16862534,Micro,Unknown,99701666.66666669,1912666.6666666667,101614333.33333331,9120666.666666666,-4706000.0,-0.2833333333,34.72,34.36,43738,4.2545,-27.98,-0.3627,,-0.000773,-0.003246,4.3044,2.2363,0.1053
AKG,Akg Exim Limited,INE00Y801016,Trading & Distributors,Services,Services,Trading & Distributors,2021-02-16,10.0,31776576,Micro,Unknown,345812000.0,1787000.0,347599000.0,3015666.6666666665,1761666.6666666667,0.0566666667,19.38,19.25,161367,2.9275,-36.09,-0.7769,,-0.001406,-0.003543,9.8413,2.3805,0.2105
AKI,AKI India Limited,INE642Z01026,Leather And Leather Products,Consumer Durables,Consumer Discretionary,Leather And Leather Products,2023-04-06,2.0,88532174,Micro,Unknown,181783333.3333333,11010000.0,192793333.3333333,6065000.0,5456666.666666667,0.0633333333,21.06,20.76,117342,3.1865,-39.58,-1.3502,,-0.002484,-0.003386,6.9048,3.7822,0.1098
AFIL,Akme Fintrade (India) Limited,INE916Y01019,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Non Banking Financial Company (NBFC),2024-06-26,10.0,42674996,Micro,Unknown,244748333.3333333,79000.0,244827000.0,27094333.33333333,85622666.66666667,2.18,93.26,92.81,318340,16.4617,-25.61,-0.3651,,-0.000874,-0.003592,7.5,3.3258,0.1543
AKSHOPTFBR,Aksh Optifibre Limited,INE523B01011,Telecom - Equipment & Accessories,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,2000-08-18,5.0,162697971,Micro,Unknown,323521666.6666667,3324333.333333333,326846000.0,48599000.0,-64385000.0,-0.3966666667,9.51,9.48,1065046,1.2213,22.27,0.9888,,0.003831,-0.003377,4.881,2.3052,0.0738
