Symbol,QuartersAvailable,Avg_RevenueFromOperations,Avg_OtherIncome,Avg_Income,Avg_EmployeeBenefitExpense,Avg_FinanceCosts,Avg_DepreciationDepletionAndAmortisationExpense,Avg_OtherExpenses,Avg_Expenses,Avg_ProfitBeforeTax,Avg_TaxExpense,Avg_ProfitLossForPeriod,Avg_BasicEarningsLossPerShareFromContinuingOperations,Avg_DilutedEarningsLossPerShareFromContinuingOperations,Avg_ComprehensiveIncomeForThePeriod,Avg_PaidUpValueOfEquityShareCapital,Avg_FaceValueOfEquityShareCapital,Avg_DilutedEarningsLossPerShare,AvailableQuarters
LUXIND,3,5884566666.666667,94300000.0,5978866666.666667,376633333.3333333,49200000.0,58466666.666666664,2439000000.0,5461800000.0,517066666.6666667,128600000.0,388466666.6666667,12.993333333333334,12.993333333333334,388466666.6666667,62600000.0,2.0,,"first,second,third"
LXCHEM,3,7495613333.333333,93960000.0,7589573333.333333,377170000.0,28520000.0,264418333.33333334,1501633333.3333333,7047275000.0,542298333.3333334,192140000.0,350158333.3333333,1.2633333333333334,1.25,352145000.0,553359333.3333334,2.0,,"first,second,third"
LYKALABS,3,350222333.3333333,4705333.333333333,354927666.6666667,83404666.66666667,6014666.666666667,17842333.333333332,78953000.0,327904333.3333333,27023333.333333332,7341000.0,20299666.666666668,0.5766666666666667,0.5766666666666667,20299666.666666668,348233333.3333333,10.0,,"first,second,third"
LYPSAGEMS,3,33700666.666666664,0.0,33700666.666666664,42000.0,0.0,542000.0,250666.66666666666,33356000.0,344666.6666666667,0.0,344666.6666666667,0.01,0.01,344666.6666666667,294840000.0,10.0,,"first,second,third"
MAANALU,3,1881033333.3333333,13200000.0,1894233333.3333333,42133333.333333336,7066666.666666667,12666666.666666666,140800000.0,1842800000.0,51433333.333333336,12866666.666666666,38566666.666666664,0.7133333333333334,0.7133333333333334,38200000.0,270400000.0,5.0,,"first,second,third"
MACPOWER,3,604762666.6666666,2308000.0,607070666.6666666,73201333.33333333,1514666.6666666667,14441000.0,62888666.666666664,531265333.3333333,75805333.33333333,19825666.666666668,55979666.666666664,5.596666666666667,5.596666666666667,55431333.333333336,100028000.0,10.0,,"first,second,third"
MADHAV,3,77594000.0,6940666.666666667,84534666.66666667,19459000.0,3774333.3333333335,5803000.0,25439000.0,84690666.66666667,-156000.0,904000.0,-1060000.0,-0.11666666666666665,-0.11666666666666665,-1060000.0,89470000.0,10.0,,"first,second,third"
MADHUCON,3,1792604333.3333333,991995333.3333334,2784599666.6666665,45324666.666666664,39412666.666666664,1684042333.3333333,1125240333.3333333,4336041666.666667,-1551442000.0,-12141333.333333334,-1539300666.6666667,-19.709999999999997,-19.709999999999997,-1539300666.6666667,73795000.0,1.0,,"first,second,third"
MADRASFERT,3,6623633333.333333,92366666.66666667,6716000000.0,347633333.3333333,157333333.33333334,26933333.333333332,2154033333.3333335,6196166666.666667,519833333.3333333,130866666.66666667,388966666.6666667,2.413333333333333,2.413333333333333,712966666.6666666,1127700000.0,10.0,,"first,second,third"
MAGADSUGAR,3,3223591666.6666665,6669000.0,3230260666.6666665,156564000.0,85686000.0,67204000.0,335905000.0,3058314000.0,171946666.66666666,45478000.0,126468666.66666667,8.973333333333333,8.973333333333333,126292333.33333333,140916000.0,10.0,,"first,second,third"
