symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_finance_costs,avg_depreciation_depletion_amortisation_expense,avg_other_expenses,avg_profit_before_tax,avg_tax_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_diluted_earnings_per_share,avg_comprehensive_income,avg_paid_up_equity_share_capital,avg_face_value_equity_share_capital,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,avg_high,avg_low,year_start_price,year_end_price,avg_daily_return,avg_vwap_distance,avg_volume_spike,yearly_momentum_score,liquidity_score,stability_score,trend_strength,profit_margin,gross_profit_margin,return_on_equity,return_on_assets,operating_margin,asset_turnover,operational_efficiency,employee_productivity,debt_to_income,interest_coverage,earnings_growth,price_to_earnings,price_to_book,volume_price_ratio,high_low_ratio,price_volatility,market_cap_numeric,log_revenue,log_profit,log_market_cap,financial_health,cluster,pca_1,pca_2,performance_score
SOMICONVEY,Somi Conveyor Beltings Limited,INE323J01019,Industrial Products,Capital Goods,Industrials,Industrial Products,2016-07-18,10.0,11779656,Micro,,256488333.3333333,1098000.0,257586333.3333333,10419000.0,4506666.666666667,3109000.0,33265333.33333333,20772666.666666668,5479333.333333333,15293333.333333334,1.3,1.3,15250000.0,117797000.0,10.0,172.65,170.71,39703,26.261,27.56,1.0276,178.54,164.16,135.25,172.52,0.003987,-0.004138,1.138964,0.4505,1.7961,2.2357,0.0265,0.05962584393052316,0.8703046922212188,0.12982786771592938,0.05937167991573052,0.08098873892899613,0.9957373514899212,0.1703170384617884,24.61736571008094,0.017495752233231836,4.609319526627219,0.1294600032258886,131.31538461538463,17.070936235727565,232.57571319782085,1.0875974658869396,0.15383398746412041,1,19.362593741358907,16.5429276269453,3.8725187482717813,0.9544437116464526,0,-4.478004999421623,1.4629792745654377,0.3076938751885559
SONACOMS,Sona BLW Precision Forgings Limited,INE073K01018,Auto Components & Equipments,Automobile and Auto Components,Consumer Discretionary,Auto Components & Equipments,2021-06-24,10.0,621717975,Large,IN-M,8682343000.0,243192000.0,8925535000.0,728801000.0,80633000.0,613423666.6666666,1765746000.0,1901288666.6666667,481703666.6666667,1419585000.0,2.3666666667,2.3666666667,1395598666.6666667,6097187000.0,10.0,626.26,624.07,1945143,81.3904,-35.42,-1.127,635.91,614.72,665.95,430.1,-0.001538,-0.001086,1.003076,-0.3798,9.8413,6.5599,0.1215,0.16350252460654918,0.7966279378734519,0.2328262196977065,0.1590476089108384,0.21898336274743657,0.9727532299184306,0.2873126528173328,11.913187550511045,0.009033968271929918,23.579535260583963,0.2288922197509551,263.6915492920607,63.635170884253675,3116.8666976460972,1.0344709786569495,0.1304187030301088,4,22.88455726018464,21.073630413028503,18.30764580814771,-1.5445752556957442,1,4.513782941153821,-3.461617078731123,0.6447496814597959
SONAMLTD,SONAM LIMITED,INE00LM01029,Consumer Electronics,Consumer Durables,Consumer Discretionary,Consumer Electronics,2022-04-07,5.0,40032000,Micro,,241435666.66666663,2993666.6666666665,244429333.3333333,14648333.333333334,5414000.0,6693000.0,18526666.666666668,21798666.666666668,6342000.0,15456666.666666666,0.3866666667,0.3866666667,15456666.666666666,6672133440000.0,5.0,50.92,50.54,201422,12.9272,-46.07,-0.4087,52.46,49.03,79.8,43.04,-0.001587,-0.005628,1.025697,-0.2539,6.3889,2.1655,0.05,0.06401981480228688,0.9232645825596053,2.316600350646864e-06,0.0632357272995058,0.09028768188074948,0.9877524246953449,0.13740720440365758,16.482125384002728,0.022149551063156633,4.026351434552395,2.316600350646864e-06,130.7068965404563,0.0003032339353212936,3985.397704788287,1.069957169080155,0.25578155916106055,1,19.302113609096292,16.553551032396534,3.8604227218192584,-0.4739498685973625,0,-4.361140943793103,1.321900804549784,0.29957507977589476
SONATSOFTW,Sonata Software Limited,INE269A01021,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,1999-07-28,1.0,280424816,Mid,IN-S,25133500000.0,198466666.66666663,25331966666.666668,3927666666.6666665,183866666.66666663,328200000.0,2087233333.3333333,1409666666.6666667,352566666.6666667,1057100000.0,3.81,3.8033333333,1037800000.0,277600000.0,1.0,576.32,573.88,957444,103.0735,-55.79,-1.5188,586.34,563.61,713.75,315.55,-0.002853,-0.00099,1.028271,-0.7047,9.8413,4.6706,0.1336,0.04205940278910617,0.9169541316039019,3.80799711815562,0.041729882796308744,0.05608716122572132,0.9921653668158413,0.2393180416575487,6.399091912076721,0.007258286302287358,7.6667875271936206,3.738472622478386,150.6246719160105,579.7197168806916,1668.3696940126856,1.0403293057255905,0.17960810622429776,3,23.947467454609747,20.778795147684875,14.368480472765848,1.3005215209447263,1,2.847989565929568,-0.5276010087160098,0.55413904925759
SOUTHWEST,South West Pinnacle Exploration Limited,INE980Y01015,Diversified Commercial Services,Services,Services,Diversified Commercial Services,2019-04-18,10.0,27902400,Micro,,351105333.3333333,17105666.666666668,368211000.0,66123333.333333336,21956000.0,24722333.33333333,64110000.0,27019333.33333333,6881000.0,21441666.666666668,0.7666666667,0.7666666667,21387000.0,279024000.0,10.0,122.42,121.46,127026,15.2111,-1.83,0.2698,125.26,118.53,112.85,110.79,0.000658,-0.003381,1.04912,0.1481,8.9683,3.6046,0.0889,0.06106904290830103,0.8174052231239248,0.07684524150849628,0.05823201008841851,0.07695506381750584,0.9535438466893529,0.3709238253287713,5.30985532086505,0.05962885410810649,1.2306127406327805,0.07664932048856013,158.42608694963363,12.145999999999999,1045.825786267084,1.0567788745465283,0.12523546846698502,1,19.676596834225563,16.880846674102138,3.9353193668451127,0.2556032844167973,0,-4.014389139934786,1.2001818931729877,0.30867193193807324
SPCENET,Spacenet Enterprises India Limited,INE970N01027,Trading & Distributors,Services,Services,Trading & Distributors,2017-01-10,1.0,564675736,Small,,331890666.6666667,488666.6666666667,332379333.3333333,10614333.333333334,109000.0,2057333.3333333333,9385000.0,19015000.0,3224000.0,15791000.0,0.03,0.03,15831666.666666666,560724000.0,1.0,26.35,26.22,2623442,4.023,-64.13,-1.6727,26.95,25.45,29.3,10.51,-0.004606,-0.001417,0.997321,-0.8428,7.3016,2.5981,0.071,0.04757892157256606,0.9717226154797965,0.028161805094841667,0.04750897067406918,0.0572929639479668,0.9985297922654637,0.06025880008677557,31.26815940709104,0.00032793856015917556,174.44954128440367,0.028234330377630824,874.0,26.404787021636313,100054.99618611747,1.0589390962671905,0.15343249427917618,2,19.620316158387887,16.57495077877599,7.848126463355155,-1.6371892733325923,0,-1.6405629441700111,-0.17440607367570043,0.3906229629928368
SPANDANA,Spandana Sphoorty Financial Limited,INE572J01011,Microfinance Institutions,Financial Services,Financial Services,Microfinance Institutions,2019-08-19,10.0,71305144,Small,IN-Mi,6503433333.333333,217026666.66666663,6720460000.0,1570866666.6666667,2489366666.6666665,51666666.66666666,631590000.0,-2670630000.0,-667766666.6666666,-2002863333.3333333,-28.0866666667,-28.1233333333,-1931840000.0,713093333.3333334,10.0,527.78,522.9,494210,200.6576,-72.05,-2.262,535.95,515.75,859.45,240.2,-0.00463,-0.003441,1.020433,-1.1435,9.8413,3.2292,0.2308,-0.3079701491007314,0.9028836050701424,-2.8086973187240565,-0.29802473838596366,-0.4106492468080963,0.9677065756411515,0.33866060491125205,4.140028858804056,0.3704161123891321,-1.0728150399700058,-2.709098388242773,-18.61737479228742,52.286928028495566,945.1329126027922,1.0391662627241882,0.38373991202906865,2,22.595596079678746,0.0,9.038238431871498,-7.385243467824788,0,-1.880199319358021,-1.3477368572984874,0.30553956489744993
SPECIALITY,Speciality Restaurants Limited,INE247M01014,Restaurants,Consumer Services,Consumer Discretionary,Restaurants,2012-05-30,10.0,48235657,Small,,1110800000.0,50866666.66666666,1161666666.6666667,241433333.3333333,35300000.0,119933333.33333331,344766666.6666667,86833333.33333333,20666666.666666668,66166666.66666666,1.3433333333,1.34,67866666.66666667,481933333.3333333,10.0,161.31,160.86,70537,18.0662,-23.87,-0.4878,164.54,158.29,187.95,143.08,-0.000787,-0.002902,1.031169,-0.1943,6.9418,3.9948,0.1741,0.0595666786700276,0.6896230944664505,0.13729423156729836,0.05695839311334289,0.07817188812867602,0.9562123385939741,0.5277277637738567,4.600855998895486,0.03038737446197991,2.4598677998111422,0.14082169041361187,119.7468982659987,16.100126819103615,438.4993161755564,1.0394844904921348,0.11231008330225038,2,20.82834631429717,18.00768738453676,8.331338525718868,-0.471601089762674,0,-1.2050694908828334,-0.3540652369660059,0.4048682176285091
SPENCERS,Spencer's Retail Limited,INE020801028,Diversified Retail,Consumer Services,Consumer Discretionary,Diversified Retail,2019-01-25,5.0,90132009,Small,,5277753333.333333,307554000.0,5585307333.333333,421041333.3333333,410868000.0,384455333.3333333,724995000.0,-593815666.6666666,-625000.0,-593190666.6666666,-6.58,-6.59,-591228666.6666666,450660000.0,5.0,87.08,86.73,460521,11.7396,-33.67,-0.5723,89.36,84.91,95.0,63.01,-0.001155,-0.004555,1.024383,-0.2853,9.8413,3.7952,0.0769,-0.11239454161682433,0.8626318900845436,-1.3162709507537094,-0.10620555526577409,-0.1125129632179349,0.9449351697865388,0.21714473203875892,12.53500052251402,0.07356229039500184,-1.4452711495338324,-1.311917336055267,-13.180851063829788,17.346001732059648,5309.82359045313,1.0524084324578966,0.13535800760982358,2,22.38676633925059,0.0,8.954706535700236,-2.1183614923705334,0,-1.7166524258296563,-0.847316492289468,0.3138107144931795
SPIC,Southern Petrochemicals Industries Corporation  Limited,INE147A01011,Fertilizers,Chemicals,Commodities,Fertilizers,1996-01-10,10.0,203640336,Small,NIN-Mi,7773200000.0,29533333.33333333,7802733333.333333,207333333.3333333,143500000.0,94666666.66666669,1027233333.3333334,606733333.3333334,229800000.0,454066666.6666667,2.23,2.23,465200000.0,2036400000.0,10.0,80.35,80.12,1235141,5.397,8.9,0.415,81.93,78.85,76.95,83.8,0.000662,-0.00298,1.03473,0.1634,9.8413,5.4698,0.0526,0.058414381035695295,0.8678493627678006,0.22297518496693514,0.05819328269580746,0.0780545120842553,0.9962150015806427,0.1588234789619033,37.49131832797428,0.018390991191121062,4.228106852497096,0.2284423492437635,35.92825112107624,8.012013219563936,15416.138292561158,1.0390615091946735,0.06736145781328008,2,22.77394775708347,19.933754590305703,9.109579102833388,0.6424195660026305,0,-0.7682094035299991,-0.5522166864737298,0.4410144377606236
