symbol,company_name,company_industry,sector,market_cap_category,confidence_score,uncertainty,high_confidence,sharpe_ratio,return_on_equity,profit_margin,year_change_percent
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Investment Company,Financial Services,Large,0.8945817810297012,0.12184265150002767,True,1.4056,59.95207667731629,0.1395054345042698,63.89
CUB,City Union Bank Limited,Private Sector Bank,Financial Services,Mid,0.8934230607748032,0.13516476336545397,True,0.3955,0.4246562282991007,0.0660247047197285,7.69
SUMICHEM,Sumitomo Chemical India Limited,Pesticides & Agrochemicals,Chemicals,Large,0.8919631725549698,0.12745152367017382,True,1.1285,0.27156917348164,0.16469867802193755,44.45
KANSAINER,Kansai Nerolac Paints Limited,Paints,Consumer Durables,Large,0.8768572199344635,0.150307795068137,False,-0.2285,4.15182253010061,0.1676400857763156,-8.63
RCF,Rashtriya Chemicals and Fertilizers Limited,Fertilizers,Chemicals,Mid,0.8698490285873413,0.12125430034530871,True,0.0621,0.10235820841414563,0.012830232119582216,-10.47
TRIVENI,Triveni Engineering & Industries Limited,Sugar,Fast Moving Consumer Goods,Mid,0.867287889122963,0.13288548928749996,True,0.5786,0.7787421958276229,0.010473799117694043,17.23
PGHH,Procter & Gamble Hygiene and Health Care Limited,Personal Care,Fast Moving Consumer Goods,Large,0.8658096659183502,0.12690259509114718,True,-0.6433,6.519408502772643,0.18755317640385707,-13.82
JINDALSAW,Jindal Saw Limited,Iron & Steel Products,Capital Goods,Large,0.859865243434906,0.13249060010835495,True,-0.5602,7.146833463643471,0.08687707114932552,-50.19
SYRMA,Syrma SGS Technology Limited,Industrial Products,Capital Goods,Mid,0.8589925158023834,0.1323554869198728,True,0.2793,0.16799911420389077,0.03565215659723605,0.19
KIMS,Krishna Institute of Medical Sciences Limited,Hospital,Healthcare,Large,0.8504491209983825,0.15771053568633173,False,-0.3686,1.2848501008215707,0.13779545149903938,-68.4
SUVENPHAR,Suven Pharmaceuticals Limited,Pharmaceuticals,Healthcare,Large,0.8463537228107453,0.1286885136028321,True,1.8103,0.0870489516522232,0.2841114634830013,83.17
ISEC,ICICI Securities Limited,Stockbroking & Allied,Financial Services,Large,0.8425582432746888,0.18035067615110212,False,1.1223,3.2080797697368424,0.31630082034171786,24.38
JYOTICNC,Jyoti CNC Automation Limited,Industrial Products,Capital Goods,Large,0.8406574732065201,0.1503695913551436,False,0.8427,1.4458905866402845,0.1657206069117519,36.3
DOMS,DOMS Industries Limited,Stationary,Fast Moving Consumer Goods,Mid,0.8400835698843002,0.14556241474628703,True,1.2628,0.8912170386286838,0.11557569061497588,54.29
ENGINERSIN,Engineers India Limited,Civil Construction,Construction,Mid,0.8381274527311325,0.13553576958372848,True,-0.3209,0.3557990088295798,0.1443955666574771,-24.69
POLYMED,Poly Medicure Limited,Medical Equipment & Supplies,Healthcare,Large,0.833813464641571,0.13940133532397322,True,0.958,1.6525957824187292,0.20075029898208582,38.15
GODREJAGRO,Godrej Agrovet Limited,Animal Feed,Fast Moving Consumer Goods,Mid,0.8298429495096207,0.14434922001450048,True,1.2951,0.5847463504282395,0.04652558306996839,49.19
