symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_finance_costs,avg_depreciation_depletion_amortisation_expense,avg_other_expenses,avg_profit_before_tax,avg_tax_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_diluted_earnings_per_share,avg_comprehensive_income,avg_paid_up_equity_share_capital,avg_face_value_equity_share_capital,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,avg_high,avg_low,year_start_price,year_end_price,avg_daily_return,avg_vwap_distance,avg_volume_spike,yearly_momentum_score,liquidity_score,stability_score,trend_strength
20MICRONS,20 Microns Limited,INE144J01027,Industrial Minerals,Metals & Mining,Commodities,Industrial Minerals,2008-10-06,5.0,35286502,Small,Unknown,2284600000.0,13464333.333333334,2298064333.333333,190991666.66666663,44646000.0,44336333.333333336,595686333.3333334,211515333.3333333,54467333.333333336,157576000.0,4.4533333333,4.4533333333,156473666.66666666,176433000.0,5.0,222.84,222.44,370105,54.1132,27.76,0.8427,229.81,216.55,152.75,195.15,0.002149,-0.003075,1.05616,0.3912,7.2619,2.8651,0.1319
21STCENMGM,21st Century Management Services Limited,INE253B01015,Other Capital Market related Services,Financial Services,Financial Services,Other Capital Market related Services,1995-05-03,10.0,10500000,Micro,Unknown,401382000.0,219666.6666666666,401601666.6666667,4210000.0,0.0,81000.0,2151666.6666666665,94914333.33333331,17769000.0,77145333.33333333,7.3466666667,7.3466666667,270241333.3333333,105000000.0,10.0,69.69,70.33,4915,1.3429,5.49,8.2813,70.72,68.52,67.9,71.63,0.007764,0.00748,,0.0543,0.0156,7.1513,0.4286
360ONE,360 ONE WAM LIMITED,INE466L01038,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2019-09-19,1.0,393073939,Large,IN-M,8239766666.666667,961266666.6666666,9201033333.333334,2125666666.6666667,2221433333.333333,169533333.33333334,751033333.3333334,3408500000.0,856166666.6666666,2552333333.333333,6.9233333333,6.64,2551833333.333333,371966666.6666667,1.0,999.54,998.5,817552,138.6884,17.61,0.5964,1021.96,976.83,739.9,870.2,0.001032,-0.000806,1.021722,0.255,9.8413,4.1398,0.0202
3IINFOLTD,3i Infotech Limited,INE748C01038,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,2021-10-22,10.0,169627242,Small,Unknown,1477000000.0,34566666.666666664,1511566666.6666667,1072900000.0,20933333.33333333,68266666.66666667,328066666.6666667,21400000.0,18733333.33333333,2666666.6666666665,0.02,0.0166666667,2233333.333333333,1693966666.6666667,10.0,31.61,31.46,1039174,5.2735,-47.37,-1.0948,32.25,30.97,40.05,21.08,-0.002136,-0.004059,1.055783,-0.5276,9.8413,3.9885,0.2267
3MINDIA,3M India Limited,INE470A01017,Diversified,Diversified,Diversified,Diversified,2004-08-13,10.0,11265070,Large,IN-M,10824412000.0,189172333.3333333,11013584333.333334,1084059000.0,32854666.666666668,138610000.0,1456929333.3333333,1827270666.6666667,478283000.0,1348987666.6666667,119.75,119.75,1337559333.3333333,112651000.0,10.0,32667.28,32570.76,7097,3694.6217,-0.62,0.1171,33086.35,32137.39,29186.3,29006.3,0.000132,-0.000758,1.021796,0.0325,0.6985,6.5735,0.1255
3PLAND,3P Land Holdings Limited,INE105C01023,Investment Company,Financial Services,Financial Services,Investment Company,1995-07-19,2.0,18000000,Micro,Unknown,11869666.666666666,0.0,11869666.666666666,3278333.333333333,0.0,109000.0,818000.0,7664333.333333333,1941666.6666666667,5722666.666666667,0.3166666667,0.3166666667,453196333.3333333,36000000.0,2.0,39.91,39.68,93313,11.6152,32.52,1.2233,41.23,38.26,30.75,40.75,0.004994,-0.002077,1.106514,0.5494,4.1103,2.8757,0.0909
5PAISA,5Paisa Capital Limited,INE618L01018,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2017-11-16,10.0,31236338,Small,Unknown,961000666.6666666,464333.3333333333,961465000.0,176459000.0,62017333.333333336,31936000.0,431888000.0,259164666.66666663,65276333.333333336,193888333.3333333,6.21,6.16,194064000.0,312182333.3333333,10.0,477.76,475.68,85530,65.0476,-31.83,-0.9002,486.02,468.25,538.25,366.95,-0.001293,-0.002099,1.050081,-0.3195,8.4172,4.3274,0.1498
63MOONS,63 moons technologies limited,INE111B01023,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,2005-06-20,2.0,46078537,Small,Unknown,296546000.0,425791000.0,722337000.0,403269000.0,2263666.6666666665,80276000.0,445727333.3333333,-209199000.0,-1744000.0,-194695666.66666663,-3.1933333333,-3.1933333333,-198460666.66666663,92157000.0,2.0,552.85,551.34,326108,200.0499,69.56,1.2424,566.43,538.67,418.7,709.95,0.00275,-0.002347,1.031137,0.6792,9.8413,4.3879,0.004
ABINFRA,A B Infrabuild Limited,INE00YB01017,Civil Construction,Construction,Industrials,Civil Construction,2024-11-08,10.0,63878936,Small,Unknown,611366000.0,5224000.0,616590000.0,6905500.0,15229000.0,13640500.0,16258500.0,60612000.0,16362000.0,44250000.0,0.9,0.84,44250000.0,2661843437000.0,10.0,89.06,88.46,140002,5.5892,-10.64,-0.4604,92.36,84.83,90.69,81.04,-0.001117,-0.000622,1.02189,-0.0681,2.4603,2.4147,0.082
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,Diversified Commercial Services,Services,Services,Diversified Commercial Services,2010-12-23,10.0,176119858,Micro,Unknown,818705333.3333334,31970333.33333333,850675666.6666666,399992000.0,19011666.666666668,12257000.0,69646000.0,15748666.666666666,9896000.0,-771666.6666666666,0.0933333333,0.0933333333,-771666.6666666666,1761199000.0,10.0,18.13,17.92,656348,2.8656,-26.81,-0.7532,18.57,17.43,18.91,13.84,-0.002854,-0.005866,1.042248,-0.1827,2.5794,4.115,0.0
AAATECH,AAA Technologies Limited,INE0D0U01013,Consulting Services,Services,Services,Consulting Services,2022-11-28,10.0,12826800,Micro,Unknown,49606000.0,3820000.0,53426000.0,21900666.666666668,0.0,1107333.3333333333,19191333.33333333,11226666.666666666,2851000.0,8375666.666666667,0.6533333333,0.6533333333,8375666.666666667,128268000.0,10.0,109.77,108.67,76672,19.0544,-19.98,-0.1718,112.41,106.24,93.15,74.54,-0.000417,-0.005852,1.099801,-0.0817,5.9938,3.2731,0.1122
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,Housing Finance Company,Financial Services,Financial Services,Housing Finance Company,2024-05-15,10.0,431384459,Mid,IN-S,7538566666.666667,166666.6666666667,7538733333.333333,1088066666.6666667,2863533333.333333,62633333.333333336,497433333.3333333,2858133333.333333,634666666.6666666,2223466666.6666665,5.2433333333,5.08,2223466666.6666665,4290133333.3333335,10.0,416.9,416.59,1541648,33.6819,40.66,1.1289,425.88,408.12,329.45,463.4,0.00183,-0.000802,1.076668,0.4154,9.0476,4.3986,0.0132
AAKASH,Aakash Exploration Services Limited,INE087Z01016,Offshore Support Solution Drilling,Oil Gas & Consumable Fuels,Energy,Offshore Support Solution Drilling,2020-09-29,1.0,101250000,Micro,Unknown,241381666.66666663,4064666.6666666665,245446333.3333333,82535333.33333333,4567000.0,17465000.0,99764000.0,7232000.0,2023666.6666666667,5208333.333333333,0.0533333333,0.0533333333,5208333.333333333,101250000.0,1.0,10.55,10.46,343192,1.4528,-20.93,-0.1787,10.82,10.22,10.7,8.46,-0.000444,-0.004099,1.038774,-0.0818,7.3413,2.9354,0.1087
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals,2021-08-06,10.0,28354303,Micro,Unknown,1219480000.0,7581666.666666667,1227061666.6666667,1795333.3333333333,11214666.666666666,5123000.0,17722333.333333332,14922333.333333334,3077000.0,11845333.333333334,0.4233333333,0.4233333333,11845333.333333334,19638012100000.0,10.0,48.33,47.94,111808,9.77,-4.59,0.369,49.65,46.48,52.74,50.32,0.001326,-0.003893,1.025358,0.114,3.4524,3.2434,0.0465
AARON,Aaron Industries Limited,INE721Z01010,Industrial Products,Capital Goods,Industrials,Industrial Products,2020-11-06,10.0,10473239,Micro,Unknown,179389666.66666666,517666.6666666667,179907666.66666666,16192666.666666666,3173333.333333333,4535333.333333333,14632333.333333334,25404333.33333333,7104666.666666667,18299666.666666668,1.7433333333,1.7433333333,18218333.33333333,104732000.0,10.0,300.31,299.76,19002,41.3287,39.28,0.9852,307.69,294.3,254.85,354.95,0.001712,-0.003619,1.034112,0.4228,1.8701,3.3955,0.0486
AARTECH,Aartech Solonics Limited,INE01C001026,Heavy Electrical Equipment,Capital Goods,Industrials,Heavy Electrical Equipment,2023-07-10,5.0,26475313,Micro,Unknown,85995000.0,12308333.333333334,98303333.33333331,10029333.333333334,1475000.0,1301666.6666666667,24322666.666666668,15436000.0,803666.6666666666,14632333.333333334,0.6766666667,0.6766666667,14632333.333333334,141201666.66666666,6.6666666667,81.33,81.07,271644,31.8827,-51.83,-0.5971,83.33,78.75,188.05,90.59,-0.002651,-0.002832,1.045424,-0.289,4.3651,4.0712,0.0459
AARTIDRUGS,Aarti Drugs Limited,INE767A01016,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals,2003-09-19,10.0,91270000,Small,IN-Mi,5700900000.0,48300000.0,5749200000.0,269166666.6666667,89033333.33333333,136333333.33333334,1101900000.0,468733333.3333333,117666666.66666669,351066666.6666667,3.8366666667,3.8366666667,352100000.0,914933333.3333334,10.0,471.01,469.17,214361,63.1653,-32.91,-1.0634,477.74,463.04,490.6,329.15,-0.0014,-0.001771,1.031345,-0.3459,9.8413,4.8452,0.1336
AARTIIND,Aarti Industries Limited,INE769A01020,Specialty Chemicals,Chemicals,Commodities,Specialty Chemicals,1995-02-08,5.0,362519910,Mid,IN-S,17742200000.0,50333333.333333336,17792533333.333332,1078466666.6666667,704933333.3333334,1069833333.3333334,2877066666.6666665,729166666.6666666,-54433333.333333336,783600000.0,2.16,2.16,750866666.6666666,1812566666.6666667,5.0,548.13,546.09,1818969,123.6223,-47.92,-1.5232,555.52,538.13,735.35,382.95,-0.002336,-0.001243,1.022893,-0.577,9.8413,5.0803,0.0283
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals,2023-01-30,5.0,90634624,Mid,IN-Mi,5170991333.333333,39089000.0,5210080333.333333,395313666.6666667,67710333.33333333,213627333.3333333,882778000.0,820232666.6666666,206686333.3333333,613547000.0,6.77,6.7666666667,596904333.3333334,453130000.0,5.0,636.1,636.13,475153,66.0074,47.66,1.0396,651.09,621.99,460.1,679.4,0.002067,-0.000369,1.028777,0.5105,9.8413,3.7821,0.0364
AARTISURF,Aarti Surfactants Limited,INE09EO01013,Specialty Chemicals,Chemicals,Commodities,Specialty Chemicals,2020-07-14,10.0,8458495,Small,Unknown,1523437666.6666667,7792333.333333333,1531230000.0,48056333.333333336,27640000.0,43135666.66666666,159446666.66666666,25115000.0,9033333.333333334,16081666.666666666,1.9033333333,1.9,16081666.666666666,84658000.0,10.0,626.48,623.58,49563,109.1576,-34.34,-0.7753,638.17,612.92,663.35,435.55,-0.001653,-0.001724,1.070518,-0.314,3.7566,4.2135,0.1368
AARVEEDEN,Aarvee Denims & Exports Limited,INE273D01019,Other Textile Products,Textiles,Consumer Discretionary,Other Textile Products,2006-11-21,10.0,23459800,Micro,Unknown,116500000.0,339891000.0,456390666.6666667,19986333.33333333,38769333.333333336,10662666.666666666,77189333.33333333,163117333.33333334,83425666.66666667,79691666.66666667,3.3966666667,3.3966666667,79691666.66666667,234598000.0,10.0,28.42,28.23,94102,3.9829,43.58,2.7851,29.16,27.49,26.5,38.05,0.005272,-0.004733,0.938216,0.3954,2.838,4.5711,0.1333
AARVI,Aarvi Encon Limited,INE754X01016,Diversified Commercial Services,Services,Services,Diversified Commercial Services,2020-06-24,10.0,14810700,Micro,Unknown,1180788000.0,8138000.0,1188926000.0,886001000.0,7499333.333333333,3584333.333333333,269885666.6666667,21955666.666666668,1707666.6666666667,20248000.0,1.37,1.3633333333,20268000.0,147840000.0,10.0,134.91,134.32,33206,14.4013,-39.89,-1.1136,137.75,132.07,164.55,98.91,-0.001755,-0.003441,1.092418,-0.4335,3.2679,3.4828,0.1822
AAVAS,Aavas Financiers Limited,INE216P01012,Housing Finance Company,Financial Services,Financial Services,Housing Finance Company,2018-10-08,10.0,79153665,Mid,Unknown,5727640666.666667,8782333.333333334,5736423000.0,886019000.0,2475769666.6666665,88870666.66666667,403797000.0,1797883666.6666667,396455000.0,1401428666.6666667,17.7066666667,17.68,1401041000.0,791417000.0,10.0,1727.59,1726.92,264356,117.4381,30.85,1.1781,1752.88,1703.55,1549.95,2028.15,0.001224,-0.000537,1.013322,0.3024,9.8413,5.2926,0.0283
ABAN,Aban Offshore Limited,IN9421A01026,Offshore Support Solution Drilling,Oil Gas & Consumable Fuels,Energy,Offshore Support Solution Drilling,2000-04-12,2.0,58365323,Micro,Unknown,1199806666.6666667,623890000.0,1823696666.6666667,189923333.3333333,2766476666.6666665,111090000.0,702643333.3333334,-2036316666.6666667,61606666.66666666,-2098410000.0,-35.9566666667,-35.9566666667,-4193060000.0,116730000.0,2.0,65.78,65.26,155288,11.295,-41.14,-1.7007,67.11,64.07,66.36,39.06,-0.003395,-0.004013,1.069863,-0.4617,5.4365,4.5566,0.2721
ABB,ABB India Limited,INE117A01022,Heavy Electrical Equipment,Capital Goods,Industrials,Heavy Electrical Equipment,1995-02-08,2.0,211908375,Large,IN-L,29411266666.666668,889266666.6666666,30300533333.33333,2090733333.3333333,37733333.333333336,317400000.0,5601100000.0,6027100000.0,1551433333.3333333,4477433333.333333,21.1233333333,21.1233333333,4467400000.0,423800000.0,2.0,7175.96,7151.66,414968,1113.9551,-21.61,-0.4301,7273.22,7038.84,6561.05,5143.3,-0.000675,-0.000392,1.022018,-0.1667,9.8413,4.5312,0.0324
ABMINTLLTD,ABM International Limited,INE251C01025,Trading & Distributors,Services,Services,Trading & Distributors,2021-09-09,10.0,9408000,Micro,Unknown,208403000.0,1102333.3333333333,209505333.3333333,1374333.3333333333,585666.6666666666,100000.0,1480666.6666666667,1290333.3333333333,0.0,1274000.0,0.4866666667,0.4866666667,1245333.3333333333,3136062720000.0,10.0,61.14,60.39,3344,12.4933,-14.9,0.2568,62.16,59.03,57.7,49.1,0.001085,-0.002822,1.125008,0.1052,0.1301,2.7204,0.1753
ACC,ACC Limited,INE012A01025,Cement & Cement Products,Construction Materials,Commodities,Cement & Cement Products,1996-11-20,10.0,187787263,Large,IN-M,52300833333.333336,2913133333.333333,55213966666.66666,1801833333.3333333,315400000.0,2412000000.0,23915700000.0,7599066666.666667,1979733333.3333333,5623533333.333333,29.9466666667,29.8633333333,5529733333.333333,1879900000.0,10.0,2287.94,2281.61,397780,258.7781,-17.81,-0.5217,2312.67,2252.46,2442.45,2007.35,-0.000615,-0.0004,1.03558,-0.1519,9.8413,5.4051,0.0283
ACCELYA,Accelya Solutions India Limited,INE793A01012,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,1999-12-01,10.0,14926261,Small,Unknown,1238222666.6666667,57375666.66666666,1295598333.3333333,373340333.3333333,6487666.666666667,70857333.33333333,375653666.6666667,351521000.0,113552000.0,237969000.0,15.9433333333,15.9433333333,237586000.0,149269000.0,10.0,1609.95,1605.25,21860,179.8353,-29.17,-0.9827,1633.46,1584.13,1791.1,1268.65,-0.001206,-0.001401,1.024528,-0.298,2.1513,6.4362,0.1417
ACCURACY,Accuracy Shipping Limited,INE648Z01015,Logistics Solution Provider,Services,Services,Logistics Solution Provider,2020-12-11,1.0,150560000,Micro,Unknown,2365209666.6666665,2571333.333333333,2367781000.0,46916666.66666666,30363666.666666668,29130666.666666668,35642666.666666664,19652333.33333333,6716666.666666667,12935666.666666666,0.0833333333,0.0833333333,12935666.666666666,60226666.66666666,1.0,9.66,9.56,339701,1.1371,-11.91,-0.0414,9.86,9.33,9.15,8.06,-0.000102,-0.003944,1.037557,-0.0147,5.7937,2.8861,0.0276
ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,Diversified Commercial Services,Services,Services,Diversified Commercial Services,2022-11-04,10.0,10200000,Micro,Unknown,23700000.0,600000.0,24300000.0,2666666.6666666665,33333.3333333333,400000.0,5766666.666666667,-833333.3333333334,-266666.6666666667,-566666.6666666666,-0.0466666667,-0.0466666667,-466666.6666666667,102000000.0,10.0,31.65,31.18,43454,4.2993,-30.51,-0.4111,32.48,30.46,34.05,23.66,-0.000894,-0.007395,1.073279,-0.2208,4.2765,2.4782,0.1336
ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,Power Generation,Power,Utilities,Power Generation,2024-11-13,2.0,605087781,Mid,Unknown,3043020000.0,436840000.0,3479860000.0,163340000.0,1786890000.0,647655000.0,239875000.0,607590000.0,-29195000.0,636785000.0,1.19,1.19,638560000.0,1127300000.0,2.0,223.06,221.3,1882554,28.8285,-22.14,-0.6815,228.43,216.4,253.15,197.09,-0.001702,-0.003034,1.120887,-0.1719,4.0476,3.8467,0.0891
ACE,Action Construction Equipment Limited,INE731H01025,Construction Vehicles,Capital Goods,Industrials,Construction Vehicles,2006-09-26,2.0,119083196,Mid,IN-S,7886866666.666667,306433333.3333333,8193300000.0,340666666.6666667,82566666.66666667,70033333.33333333,992166666.6666666,1294100000.0,325166666.6666667,968933333.3333334,8.14,8.1366666667,970200000.0,238200000.0,2.0,1346.06,1342.26,379454,112.7699,-14.97,-0.1542,1372.14,1315.83,1447.5,1230.75,-0.00027,-0.001226,1.014179,-0.0668,9.8413,3.9295,0.0891
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,Power Distribution,Power,Utilities,Power Distribution,2015-07-31,10.0,1201282642,Large,IN-L,39703133333.333336,1990100000.0,41693233333.333336,1905366666.6666667,5867833333.333333,3273566666.6666665,10161566666.666666,1231600000.0,-141166666.66666666,-845033333.3333334,0.0266666667,-0.4333333333,327566666.6666667,11726833333.333334,10.0,927.77,924.97,2962147,140.0604,-18.73,-0.0906,946.24,908.74,1039.45,844.8,-0.000202,-0.002433,1.045729,-0.0499,9.8413,3.2845,0.0081
ADANIENT,Adani Enterprises Limited,INE423A01024,Trading - Minerals,Metals & Mining,Commodities,Trading - Minerals,1997-06-04,1.0,1154180729,Large,IN-L,236429633333.3333,6115166666.666667,242544800000.0,7873833333.333333,13938800000.0,9916400000.0,71831666666.66667,17400033333.333332,5614700000.0,13300300000.0,9.09,9.09,15781433333.333334,1144733333.3333333,1.0,2788.24,2779.98,2147210,379.033,-26.25,-0.424,2825.25,2739.85,3147.45,2321.4,-0.000781,-0.000993,1.041992,-0.1928,9.8413,3.7742,0.0526
ADANIGREEN,Adani Green Energy Limited,INE364U01010,Power Generation,Power,Utilities,Power Generation,2018-06-18,10.0,1584032478,Large,IN-L,27513333333.33333,2913333333.333333,30426666666.666668,310000000.0,12510000000.0,6086666666.666667,2890000000.0,4536666666.666667,320000000.0,5393333333.333333,2.37,2.3633333333,5860000000.0,15840000000.0,10.0,1485.52,1478.26,3187228,412.1191,-50.77,-0.9824,1512.5,1453.23,1815.1,893.65,-0.002221,-0.002475,1.055914,-0.5487,9.8413,3.116,0.1822
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Port & Port services,Services,Services,Port & Port services,2007-11-27,2.0,2160138945,Large,IN-L,56403333333.333336,4600700000.0,61004033333.333336,3657666666.6666665,7458500000.0,7820333333.333333,18643566666.666668,23158566666.666668,4301766666.666667,19023066666.666668,8.86,8.86,18389800000.0,4320300000.0,2.0,1318.19,1314.92,4035082,147.5275,-11.48,-0.0928,1334.51,1295.39,1315.55,1164.55,-0.00015,-4.7e-05,1.052886,-0.037,9.8413,3.7025,0.0283
ADANIPOWER,Adani Power Limited,INE814H01011,Integrated Power Utilities,Power,Utilities,Integrated Power Utilities,2009-08-20,10.0,3856938941,Large,IN-L,139885633333.33334,8015133333.333333,147900766666.66666,1982733333.3333333,8582966666.666667,10747433333.333334,7740033333.333333,43660766666.66666,9826166666.666666,33834600000.0,8.5333333333,8.5333333333,33784566666.666668,38569400000.0,10.0,603.64,601.92,7407723,88.0005,-12.33,-0.0219,615.27,591.55,591.15,518.25,-4.4e-05,-0.002679,1.039357,-0.0108,9.8413,3.0851,0.2065
ATGL,Adani Total Gas Limited,INE399L01023,LPG/CNG/PNG/LNG Supplier,Oil Gas & Consumable Fuels,Energy,LPG/CNG/PNG/LNG Supplier,2018-11-05,1.0,1099810083,Large,IN-M,13194366666.666666,75266666.66666667,13269633333.333334,143600000.0,256433333.3333333,500966666.6666667,2256100000.0,2207733333.333333,571133333.3333334,1666066666.6666667,1.5166666667,1.5166666667,1676433333.3333333,1099800000.0,1.0,773.93,770.96,1890163,126.7127,-36.08,-0.7221,787.04,760.14,926.25,592.05,-0.001366,-0.002923,1.056658,-0.3375,9.8413,3.2632,0.166
AWL,Adani Wilmar Limited,INE699H01024,Edible Oil,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Edible Oil,2022-02-08,1.0,1299678605,Large,IN-M,151627800000.0,776100000.0,152403900000.0,1401566666.6666667,1819700000.0,990966666.6666666,11427100000.0,4554266666.666667,1265233333.3333333,3450500000.0,2.6533333333,2.6533333333,3451933333.333333,1299700000.0,1.0,319.14,318.39,2866448,38.7824,-18.96,-0.2954,324.26,313.85,336.3,272.55,-0.000497,-0.002043,1.035867,-0.1226,9.8413,4.7568,0.1255
ADFFOODS,ADF Foods Limited,INE982B01027,Packaged Foods,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Packaged Foods,2010-09-15,2.0,109863595,Small,Unknown,1435027666.6666667,41583000.0,1476610666.6666667,105433333.33333331,6371666.666666667,45252000.0,401391333.3333333,235529666.66666663,59484666.66666666,176045000.0,1.6233333333,1.6233333333,182412666.66666663,219727000.0,2.0,258.81,258.35,393240,35.6797,20.59,0.6232,265.45,252.34,186.9,225.39,0.001272,-0.003045,1.074068,0.3143,9.8413,3.5557,0.0445
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,Asset Management Company,Financial Services,Financial Services,Asset Management Company,2021-10-11,5.0,288489286,Mid,Unknown,4142300000.0,760900000.0,4903200000.0,863466666.6666666,15066666.666666666,98366666.66666669,688566666.6666666,3121400000.0,789933333.3333334,2331466666.6666665,8.0866666667,8.0666666667,2326066666.6666665,1441433333.3333333,5.0,691.45,690.79,461248,94.5318,25.21,0.7662,704.47,678.86,499.2,625.05,0.001234,-0.001353,1.03586,0.3047,9.8413,4.9741,0.0688
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,Investment Company,Financial Services,Financial Services,Investment Company,2017-09-01,10.0,2607010822,Large,IN-M,62453700000.0,243400000.0,62697100000.0,3044233333.333333,15801266666.666666,397833333.3333333,32239933333.33333,8198233333.333333,2321633333.333333,6355400000.0,2.3966666667,2.37,6228266666.666667,26045643333.33333,10.0,204.14,203.58,5863696,25.3026,-9.84,-0.1365,206.96,200.5,205.55,185.33,-0.000186,-0.00112,1.040291,-0.0459,9.8413,5.7908,0.0283
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,Speciality Retail,Consumer Services,Consumer Discretionary,Speciality Retail,2013-07-17,10.0,1220232869,Large,IN-M,37921233333.333336,521433333.3333333,38442666666.66666,5157666666.666667,2388600000.0,4564000000.0,12041466666.666666,-1880366666.6666667,-307100000.0,-1573266666.6666667,-1.2966666667,-1.2966666667,-1567733333.3333333,10524666666.666666,10.0,294.17,293.79,4611028,32.072,10.46,0.4553,299.17,288.82,229.95,254.0,0.000673,-0.000748,1.049526,0.1663,9.8413,4.9519,0.0121
BIRLAMONEY,Aditya Birla Money Limited,INE865C01022,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2008-02-07,1.0,56509201,Small,Unknown,1170740000.0,38230333.333333336,1208970333.3333333,235467666.66666663,303382000.0,24119666.666666668,129252333.33333331,296672666.6666667,80456000.0,216216666.66666663,3.8266666667,3.8266666667,215704333.3333333,56509000.0,1.0,166.8,166.77,603496,42.3305,109.38,2.6559,172.38,161.5,128.25,268.53,0.009366,-0.003412,1.035134,0.871,3.7302,2.7447,0.0968
ABREL,Aditya Birla Real Estate Limited,INE055A01016,Paper & Paper Products,Forest Materials,Commodities,Paper & Paper Products,2003-06-27,10.0,111695680,Large,IN-S,10778333333.333334,111633333.33333331,10889966666.666666,920033333.3333334,129366666.66666669,551600000.0,2176466666.6666665,121733333.33333331,83966666.66666667,-74000000.0,-0.1366666667,-0.1333333333,320033333.3333333,1116900000.0,6.6666666667,2305.8,2301.09,372839,334.6289,2.28,0.292,2358.15,2250.31,1746.5,1786.4,0.000576,-0.001383,1.049653,0.1422,9.8413,3.5097,0.0526
AVL,Aditya Vision Limited,INE679V01027,Speciality Retail,Consumer Services,Consumer Discretionary,Speciality Retail,2024-11-06,1.0,128663050,Mid,IN-Mi,4421500000.0,18300000.0,4439800000.0,146950000.0,71100000.0,94400000.0,155850000.0,235900000.0,53750000.0,182150000.0,1.42,1.42,182150000.0,128600000.0,1.0,462.48,462.73,164613,35.716,-3.47,0.0701,474.31,449.7,443.25,427.85,0.000135,0.002076,0.998419,0.0144,4.246,3.442,0.1226
ADROITINFO,Adroit Infotech Limited,INE737B01033,IT Enabled Services,Information Technology,Information Technology,IT Enabled Services,1997-08-13,10.0,54172808,Micro,Unknown,35735333.333333336,2699000.0,38434333.333333336,19373666.666666668,893666.6666666666,3603000.0,10002000.0,4562666.666666667,775666.6666666666,3787000.0,0.1433333333,0.1166666667,3787000.0,257243666.66666663,10.0,18.55,18.27,139283,2.7836,-41.95,-0.6446,19.0,17.75,20.0,11.61,-0.001883,-0.002938,1.151738,-0.3332,7.0635,2.6116,0.113
ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020,Biotechnology,Healthcare,Healthcare,Biotechnology,2016-08-01,2.0,111881150,Small,IN-Mi,1338296666.6666667,60133333.333333336,1398430000.0,278403333.3333333,6213333.333333333,67986666.66666667,305913333.3333333,371413333.3333333,92903333.33333331,278510000.0,2.45,2.4433333333,295466666.6666667,223686666.66666663,2.0,385.89,384.76,329380,67.5633,-23.08,-0.4518,393.37,377.85,359.4,276.45,-0.000731,-0.001821,1.031915,-0.1805,9.8413,5.2729,0.0445
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,INE199C01026,Hotels & Resorts,Consumer Services,Consumer Discretionary,Hotels & Resorts,2007-06-25,2.0,92438500,Small,Unknown,246323000.0,9119333.333333334,255442333.3333333,83335666.66666667,213333.3333333333,7565000.0,78887666.66666667,66370666.66666666,16489666.666666666,49881000.0,0.54,0.54,49680333.333333336,123251333.33333331,1.3333333333,70.06,69.65,152105,6.5021,-25.27,-0.5586,71.32,68.43,79.75,59.6,-0.000876,-0.002026,1.043744,-0.2163,9.8413,4.0035,0.1255
AEGISLOG,Aegis Logistics Limited,INE208C01025,Trading - Gas,Oil Gas & Consumable Fuels,Energy,Trading - Gas,1996-04-03,1.0,351000000,Large,IN-S,13965133333.333334,840633333.3333334,14805766666.666666,183166666.66666663,279166666.6666667,263400000.0,564433333.3333334,2068200000.0,478366666.6666667,1589833333.3333333,3.9466666667,3.9466666667,1588466666.6666667,351000000.0,1.0,765.97,765.79,1727156,83.3853,55.04,1.0333,787.35,745.71,487.45,755.75,0.002482,-0.000997,1.063959,0.6131,9.8413,2.6541,0.0405
