symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_finance_costs,avg_depreciation_depletion_amortisation_expense,avg_other_expenses,avg_profit_before_tax,avg_tax_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_diluted_earnings_per_share,avg_comprehensive_income,avg_paid_up_equity_share_capital,avg_face_value_equity_share_capital,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,avg_high,avg_low,year_start_price,year_end_price,avg_daily_return,avg_vwap_distance,avg_volume_spike,yearly_momentum_score,liquidity_score,stability_score,trend_strength
MSTCLTD,Mstc Limited,INE255X01014,Trading & Distributors,Services,Services,Trading & Distributors,2019-03-29,10.0,70400000,Mid,IN-Mi,1141871000.0,184773000.0,1326644000.0,295475333.3333333,600000.0,37611333.333333336,259005666.66666663,1591735333.3333333,396558333.3333333,1230470333.3333333,16.77,16.77,1240071333.3333333,704000000.0,10.0,725.37,722.12,336366,146.3329,-42.2,-0.8369,741.28,708.47,865.1,500.0,-0.001696,-0.003451,1.014015,-0.419,9.8413,3.7776,0.1255
MTARTECH,Mtar Technologies Limited,INE864I01014,Aerospace & Defense,Capital Goods,Industrials,Aerospace & Defense,2021-03-15,10.0,30759591,Mid,IN-Mi,1643023333.3333333,17066000.0,1660089333.3333333,297506666.6666667,54156666.66666666,75370000.0,208133333.3333333,176499333.33333334,45950000.0,130549333.33333331,4.2433333333,4.2433333333,130549333.33333331,307590000.0,10.0,1700.13,1695.16,233285,202.5138,-27.32,-0.5747,1729.64,1669.11,1820.05,1322.75,-0.00095,-0.002557,1.047261,-0.2347,9.8413,4.6729,0.0931
MUFIN,Mufin Green Finance Limited,INE08KJ01020,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Non Banking Financial Company (NBFC),2023-11-06,1.0,161175172,Small,Unknown,439191333.3333333,2965000.0,442156333.3333333,61206333.333333336,221079666.66666663,8255333.333333333,56041666.66666666,72358333.33333333,19710000.0,52648333.333333336,0.3233333333,0.3166666667,52856666.66666666,163036666.66666666,1.0,109.55,108.78,213333,18.2276,-44.99,-0.9137,112.18,106.52,125.4,68.98,-0.001891,-0.003466,1.027667,-0.4671,9.8413,2.9889,0.2227
MUKANDLTD,Mukand Limited,INE304A01026,Iron & Steel,Metals & Mining,Commodities,Iron & Steel,2004-02-23,10.0,144495563,Small,Unknown,12610333333.333334,29600000.0,12639933333.333334,572266666.6666666,321133333.3333333,124900000.0,3369100000.0,313900000.0,97266666.66666669,216633333.3333333,1.4966666667,1.4966666667,206533333.3333333,1445100000.0,10.0,143.12,142.49,220207,26.7104,-44.42,-1.2596,146.04,140.12,168.45,93.62,-0.002044,-0.00302,1.050722,-0.5048,9.8413,4.1139,0.1457
MUKKA,Mukka Proteins Limited,INE0CG401037,Animal Feed,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Animal Feed,2024-03-07,1.0,300000000,Small,Unknown,2082816333.3333333,39301666.66666666,2122118000.0,79106000.0,92531666.66666669,35583000.0,242169666.66666663,127994000.0,20098666.666666668,111755333.33333331,0.3633333333,0.3633333333,110923333.33333331,300000000.0,300.0,39.55,39.37,1726198,5.4541,-7.29,0.0794,40.38,38.68,35.95,33.33,0.000156,-0.00292,1.063234,0.0384,9.8413,3.2944,0.2065
MUKTAARTS,Mukta Arts Limited,INE374B01019,Film Production Distribution & Exhibition,Media Entertainment & Publication,Consumer Discretionary,Film Production Distribution & Exhibition,2000-09-12,5.0,22585200,Micro,Unknown,428697000.0,20451666.666666668,449148666.6666667,98896000.0,33219666.666666668,46210666.66666666,294366000.0,-42150666.66666666,1539666.6666666667,-43703333.333333336,-1.9333333333,-1.9333333333,-43703333.333333336,112926000.0,5.0,75.96,75.27,76654,8.3853,-4.2,0.2051,77.96,73.38,73.1,70.03,0.000507,-0.005227,1.062912,0.0897,5.4145,2.9949,0.113
MUNJALAU,Munjal Auto Industries Limited,INE672B01032,Auto Components & Equipments,Automobile and Auto Components,Consumer Discretionary,Auto Components & Equipments,2006-07-19,2.0,100000000,Small,Unknown,5181655333.333333,99443333.33333331,5281098666.666667,530348000.0,76350333.33333333,146214000.0,725144333.3333334,112768666.66666669,16817000.0,95951666.66666669,1.1,1.1,91945333.33333331,200000000.0,2.0,97.38,96.94,606351,19.7665,-17.37,-0.1425,99.63,95.02,81.8,67.59,-0.000285,-0.003035,1.052193,-0.0703,9.8413,4.0773,0.0891
NELCAST,Nelcast Limited,INE189I01024,Castings & Forgings,Capital Goods,Industrials,Castings & Forgings,2007-06-27,2.0,87001200,Small,Unknown,3073105666.6666665,41634666.66666666,3114740333.333333,196501000.0,86106000.0,60495666.66666666,1289400000.0,103701000.0,24539000.0,79162000.0,0.91,0.91,77958000.0,174002000.0,2.0,127.53,126.88,109202,20.736,-42.48,-1.0717,130.07,124.7,150.15,86.36,-0.001862,-0.003319,1.036837,-0.46,9.8413,3.9571,0.1619
MUNJALSHOW,Munjal Showa Limited,INE577A01027,Auto Components & Equipments,Automobile and Auto Components,Consumer Discretionary,Auto Components & Equipments,2003-05-12,2.0,39995000,Small,Unknown,3158527666.6666665,72281333.33333333,3230809000.0,302591666.6666667,34666.6666666667,30177000.0,365641333.3333333,74481333.33333333,7978000.0,66503333.333333336,1.66,1.66,67112666.66666667,79993000.0,2.0,151.14,150.41,135382,18.996,-29.48,-0.8054,153.74,148.23,158.0,111.42,-0.001155,-0.003415,1.050679,-0.2853,9.8413,5.38,0.1377
MURUDCERA,Murudeshwar Ceramics Limited,INE692B01014,Ceramics,Consumer Durables,Consumer Discretionary,Ceramics,2004-05-28,10.0,60545260,Micro,Unknown,454881333.3333333,6967000.0,461848333.3333333,66677333.333333336,30036666.666666668,33720000.0,206408666.66666663,21722666.666666668,185000.0,21970000.0,0.3633333333,0.3633333333,21970000.0,605453000.0,10.0,49.54,49.26,144652,8.3593,-33.78,-0.5684,50.69,48.32,48.75,32.28,-0.001159,-0.004525,1.045895,-0.2864,9.8413,3.6826,0.1215
